place,latitude,longitude,url,address,hours,services,city,state,zip
Sacramento-Florin IBC,38.49457,-121.43485,https://www.dmv.ca.gov/portal/field-office/sacramento-florin-ibc/,7226 Florin Mall Dr.,"Mo,Tu,Th,Fr 07:00-16:00,We 08:00-16:00",[], Sacramento,CA,95823
Sacramento South,38.476400,-121.426300,https://www.dmv.ca.gov/portal/field-office/sacramento-south/,7775 La Mancha Way,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Sacramento,CA,95823
Carmichael,38.625159,-121.343288,https://www.dmv.ca.gov/portal/field-office/carmichael/,5209 North Ave,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Carmichael,CA,95608
Oakland,37.840000,-122.259700,https://www.dmv.ca.gov/portal/field-office/oakland/,5300 Claremont Avenue,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Oakland,CA,94618
El Cerrito,37.916100,-122.310700,https://www.dmv.ca.gov/portal/field-office/el-cerrito/,6400 Manila Avenue,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], El Cerrito,CA,94530
Hayward,37.659500,-122.087800,https://www.dmv.ca.gov/portal/field-office/hayward/,150 Jackson Street,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Hayward,CA,94544
Vallejo,38.117100,-122.251900,https://www.dmv.ca.gov/portal/field-office/vallejo/,200 Couch Street,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Vallejo,CA,94590
Napa,38.255400,-122.273900,https://www.dmv.ca.gov/portal/field-office/napa/,2550 Napa Valley Corporate Drive,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Napa,CA,94558
Fairfield IBC,38.23032,-122.13151,https://www.dmv.ca.gov/portal/field-office/fairfield-ibc/,4630 Westamerica Dr,"Mo,Tu,Th,Fr 07:00-16:00,We 08:00-16:00",[], Fairfield,CA,94534
Fairfield,38.246700,-122.073100,https://www.dmv.ca.gov/portal/field-office/fairfield/,160 Serrano Drive,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Fairfield,CA,94533
Tracy,37.762200,-121.465100,https://www.dmv.ca.gov/portal/field-office/tracy/,2785 Auto Plaza Drive,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Tracy,CA,95304
Stockton,37.951300,-121.297600,https://www.dmv.ca.gov/portal/field-office/stockton/,55 South Lincoln Street,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Stockton,CA,95203
Pleasanton Stoneridge,37.696870,-121.926060,https://www.dmv.ca.gov/portal/field-office/pleasanton-stoneridge/,2621 Stoneridge Mall,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[],,,
Pleasanton,37.680167,-121.905706,https://www.dmv.ca.gov/portal/field-office/pleasanton/,6300 W Las Positas Blvd,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Pleasanton,CA,94588
Pittsburg,37.998800,-121.872600,https://www.dmv.ca.gov/portal/field-office/pittsburg/,1399 Buchanan Road,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Pittsburg,CA,94565
Concord,37.974700,-122.056600,https://www.dmv.ca.gov/portal/field-office/concord/,2070 Diamond Boulevard,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Concord,CA,94520
Santa Rosa,38.414974,-122.716768,https://www.dmv.ca.gov/portal/field-office/santa-rosa/,2570 Corby Ave,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Santa Rosa,CA,95407
Petaluma,38.257000,-122.645300,https://www.dmv.ca.gov/portal/field-office/petaluma/,715 - J Southpoint Boulevard,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Petaluma,CA,94954
Vacaville,38.378400,-121.944800,https://www.dmv.ca.gov/portal/field-office/vacaville/,621 Orange Drive,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Vacaville,CA,95687
Santa Teresa,37.229700,-121.778500,https://www.dmv.ca.gov/portal/field-office/santa-teresa/,180 Martinvale Lane,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], San Jose,CA,95119
Clearlake,38.92956,-122.61626,https://www.dmv.ca.gov/portal/field-office/clearlake/,15930 Dam Rd,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[],,,
Corte Madera,37.934700,-122.517700,https://www.dmv.ca.gov/portal/field-office/corte-madera/,75 Tamal Vista Boulevard,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Corte Madera,CA,94925
Novato,38.106600,-122.578700,https://www.dmv.ca.gov/portal/field-office/novato/,936 7th Street A,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Novato,CA,94947
Gilroy,37.001700,-121.560600,https://www.dmv.ca.gov/portal/field-office/gilroy/,6984 Automall Parkway Suite A,,['Kiosk Available'], Gilroy,CA,95020
Manteca,37.800600,-121.230300,https://www.dmv.ca.gov/portal/field-office/manteca/,955 Davis Street,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Manteca,CA,95336
Lodi,38.117900,-121.252200,https://www.dmv.ca.gov/portal/field-office/lodi/,1222 Pixley Parkway,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Lodi,CA,95240
San Andreas,38.191088,-120.671187,https://www.dmv.ca.gov/portal/field-office/san-andreas/,745 Mountain Ranch Rd,"Tu,Th 08:00-17:00",[], San Andreas,CA,95249
Sonora,37.984400,-120.370200,https://www.dmv.ca.gov/portal/field-office/sonora/,885 Morning Star Drive,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Sonora,CA,95370
South Lake Tahoe,38.945748,-119.969890,https://www.dmv.ca.gov/portal/field-office/south-lake-tahoe/,3344 B Lake Tahoe Boulevard,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], South Lake Tahoe,CA,96150
Jackson,38.342199,-120.763620,https://www.dmv.ca.gov/portal/field-office/jackson/,201 Clinton Road,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Jackson,CA,95642
Modesto,37.638400,-120.988800,https://www.dmv.ca.gov/portal/field-office/modesto/,124 Burney Street,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Modesto,CA,95354
Turlock,37.521866,-120.839588,https://www.dmv.ca.gov/portal/field-office/turlock/,825 E Monte Vista Avenue,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Turlock,CA,95382
Fort Bragg,39.437900,-123.804200,https://www.dmv.ca.gov/portal/field-office/fort-bragg/,410 S Franklin Street,"Mo,Fr 08:00-17:00,We 09:00-17:00",[], Fort Bragg,CA,95437
Ukiah,39.147600,-123.198800,https://www.dmv.ca.gov/portal/field-office/ukiah/,542 S Orchard Avenue,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Ukiah,CA,95482
Lakeport,39.036613,-122.927301,https://www.dmv.ca.gov/portal/field-office/lakeport/,965 Parallel Drive,"Tu,Th 08:00-17:00",[], Lakeport,CA,95453
Garberville,40.120878,-123.800749,https://www.dmv.ca.gov/portal/field-office/garberville/,1180 Evergreen Rd,"Tu,Th 08:00-17:00",[], Redway,CA,95560
Eureka,40.779296,-124.190593,https://www.dmv.ca.gov/portal/field-office/eureka/,3300 Broadway St,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Eureka,CA,95501
Weaverville,40.725600,-122.933100,https://www.dmv.ca.gov/portal/field-office/weaverville/,1511 Main Street,"Tu,Th 08:00-17:00",[], Weaverville,CA,96093
Yreka,41.702574,-122.645547,https://www.dmv.ca.gov/portal/field-office/yreka/,1848 Fort Jones Rd,"Mo,Fr 08:00-17:00,We 09:00-17:00",[], Yreka,CA,96097
Auburn,38.907416,-121.083930,https://www.dmv.ca.gov/portal/field-office/auburn/,11722 Enterprise Dr,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Auburn,CA,95603
Truckee,39.326110,-120.210732,https://www.dmv.ca.gov/portal/field-office/truckee/,11357 Donner Pass Road Suite I,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Truckee,CA,96162
Woodland,38.669155,-121.764585,https://www.dmv.ca.gov/portal/field-office/woodland/,825 East St,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Suite 306,CA,95776
Davis,38.549200,-121.726700,https://www.dmv.ca.gov/portal/field-office/davis/,505 Pole Line Road,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Davis,CA,95616
Colusa,39.203900,-122.004400,https://www.dmv.ca.gov/portal/field-office/colusa/,1025 Bridge St STE B,"Mo,Fr 08:00-17:00,We 09:00-17:00",[], Colusa,CA,95932
Folsom,38.674100,-121.168100,https://www.dmv.ca.gov/portal/field-office/folsom/,323 E Bidwell A,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Folsom,CA,95630
Placerville,38.734700,-120.825100,https://www.dmv.ca.gov/portal/field-office/placerville/,2919 Cold Springs Road,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Placerville,CA,95667
Rocklin,38.787400,-121.231600,https://www.dmv.ca.gov/portal/field-office/rocklin/,5245 South Grove,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Rocklin,CA,95677
Roseville,38.775600,-121.306100,https://www.dmv.ca.gov/portal/field-office/roseville/,7200 Galilee Road,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Roseville,CA,95678
Grass Valley,39.232100,-121.036010,https://www.dmv.ca.gov/portal/field-office/grass-valley/,890 Sutton Way,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Grass Valley,CA,95945
Willows,39.529404,-122.212047,https://www.dmv.ca.gov/portal/field-office/willows/,815 N Humboldt Avenue,"Tu,Th 08:00-17:00",[], Willows,CA,95988
Chico,39.752800,-121.849100,https://www.dmv.ca.gov/portal/field-office/chico/,107 Parmac Rd #1,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Chico,CA,95926
Oroville,39.504455,-121.565331,https://www.dmv.ca.gov/portal/field-office/oroville/,775 Mitchell Avenue,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Oroville,CA,95965
Quincy,39.935062,-120.882972,https://www.dmv.ca.gov/portal/field-office/quincy/,1953 E Main Street Suite 3,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Quincy,CA,95971
Susanville,40.412221,-120.638430,https://www.dmv.ca.gov/portal/field-office/susanville/,2615 Main Street,"Mo,Fr 08:00-17:00,We 09:00-17:00",[], Susanville,CA,96130
Redding,40.575900,-122.380500,https://www.dmv.ca.gov/portal/field-office/redding/,2135 Civic Center Drive,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Redding,CA,96001
Alturas,41.491962,-120.549754,https://www.dmv.ca.gov/portal/field-office/alturas/,903 W C St,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Alturas,CA,96101
Fall River Mills,41.019824,-121.427987,https://www.dmv.ca.gov/portal/field-office/fall-river-mills/,43467 Hwy 299E,"Tu,Th 08:00-17:00",[], Fall River Mills,CA,96028
Mt Shasta,41.310225,-122.317030,https://www.dmv.ca.gov/portal/field-office/mt-shasta/,154 Morgan Way,"Tu,Th 08:00-17:00",[], Mt Shasta,CA,96067
Red Bluff,40.174800,-122.239000,https://www.dmv.ca.gov/portal/field-office/red-bluff/,675 Monroe Street,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Red Bluff,CA,96080
Tulelake,41.956200,-121.477100,https://www.dmv.ca.gov/portal/field-office/tulelake/,399 Main Street,,[], Tulelake,CA,96134
