place,latitude,longitude,url,address,hours,services,city,state,zip
El Cajon,32.816800,-116.959700,https://www.dmv.ca.gov/portal/field-office/el-cajon/,1450 Graves Avenue,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], El Cajon,CA,92021
El Centro,32.794800,-115.569400,https://www.dmv.ca.gov/portal/field-office/el-centro/,233 N Imperial Avenue,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], El Centro,CA,92243
Oceanside,33.183400,-117.289000,https://www.dmv.ca.gov/portal/field-office/oceanside/,4005 Plaza Drive,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Oceanside,CA,92056
Temecula,33.506200,-117.161300,https://www.dmv.ca.gov/portal/field-office/temecula/,27851 Diaz Road,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Temecula,CA,92590
Brawley,32.9790193,-115.5453627,https://www.dmv.ca.gov/portal/field-office/brawley/,173 W Main St.,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Brawley,CA,92227
Indio,33.726220,-116.215742,https://www.dmv.ca.gov/portal/field-office/indio/,44480 Jackson St,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Indio,CA,92201
Poway,32.960200,-117.040700,https://www.dmv.ca.gov/portal/field-office/poway/,13461 Community Road,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Poway,CA,92064
Murrieta Express,33.599450,-117.175960,https://www.dmv.ca.gov/portal/field-office/murrieta-express/,27890 Clinton Keith Road,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'],,,
Laguna Hills,33.620900,-117.731600,https://www.dmv.ca.gov/portal/field-office/laguna-hills/,23535 Moulton Parkway,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Laguna Hills,CA,92653
San Clemente,33.442800,-117.642800,https://www.dmv.ca.gov/portal/field-office/san-clemente/,2727 Via Cascadita,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], San Clemente,CA,92672
San Luis Obispo,35.257500,-120.669500,https://www.dmv.ca.gov/portal/field-office/san-luis-obispo/,3190 S Higuera Street,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], San Luis Obispo,CA,93401
San Diego Clairemont,32.823500,-117.183200,https://www.dmv.ca.gov/portal/field-office/san-diego-clairemont/,4375 Derrick Drive,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], San Diego,CA,92117
Palm Desert,33.782800,-116.357600,https://www.dmv.ca.gov/portal/field-office/palm-desert/,74-740 Technology Drive,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Palm Desert,CA,92211
Blythe,33.604200,-114.596200,https://www.dmv.ca.gov/portal/field-office/blythe/,430 S Broadway,"Tu,Th 08:00-17:00",[], Blythe,CA,92225
Palm Springs,33.836600,-116.518700,https://www.dmv.ca.gov/portal/field-office/palm-springs/,950 N Farrell Drive,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Palm Springs,CA,92262
Twentynine Palms,34.199775,-116.054016,https://www.dmv.ca.gov/portal/field-office/twentynine-palms/,3668 Adobe Road G-J,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Twentynine Palms,CA,92277
Needles,34.825497,-114.596291,https://www.dmv.ca.gov/portal/field-office/needles/,1040 E Broadway St,"Mo,Fr 08:00-17:00,We 09:00-17:00",[], Needles,CA,92363
Victorville,34.520500,-117.305500,https://www.dmv.ca.gov/portal/field-office/victorville/,14855 Corta Drive,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Victorville,CA,92395
Barstow,34.888119,-117.022119,https://www.dmv.ca.gov/portal/field-office/barstow/,528 E Virginia Way,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Barstow,CA,92311
San Bernardino IBC,34.06777,-117.27467,https://www.dmv.ca.gov/portal/field-office/san-bernardino-ibc/,473 East Carnegie Dr Ste. 125,"Mo,Tu,Th,Fr 07:00-16:00,We 08:00-16:00",[], San Bernardino,CA,92408
Riverside,33.957500,-117.396600,https://www.dmv.ca.gov/portal/field-office/riverside/,6280 Brockton Avenue,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Riverside,CA,92506
San Bernardino,34.123400,-117.278800,https://www.dmv.ca.gov/portal/field-office/san-bernardino/,1310 N Waterman Avenue,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], San Bernardino,CA,92404
Riverside East,33.934500,-117.299200,https://www.dmv.ca.gov/portal/field-office/riverside-east/,6425 Sycamore Canyon Blvd,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Riverside,CA,92507
Redlands,34.070300,-117.211100,https://www.dmv.ca.gov/portal/field-office/redlands/,1659 W Lugonia Avenue,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Redlands,CA,92374
Ridgecrest,35.648927,-117.679474,https://www.dmv.ca.gov/portal/field-office/ridgecrest/,540A Perdew Avenue,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Ridgecrest,CA,93555
Hemet,33.727792,-116.970199,https://www.dmv.ca.gov/portal/field-office/hemet/,1200 S State St,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Hemet,CA,92543
Ventura,34.256700,-119.236300,https://www.dmv.ca.gov/portal/field-office/ventura/,4260 Market Street,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Ventura,CA,93003
Santa Barbara,34.412900,-119.701100,https://www.dmv.ca.gov/portal/field-office/santa-barbara/,535 Castillo Street,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Santa Barbara,CA,93101
Santa Paula,34.344500,-119.075600,https://www.dmv.ca.gov/portal/field-office/santa-paula/,250 W Harvard Boulevard A,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Santa Paula,CA,93060
Goleta,34.428500,-119.876500,https://www.dmv.ca.gov/portal/field-office/goleta/,7127 Hollister Avenue Suite 24/26,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Goleta,CA,93117
Delano,35.765100,-119.243700,https://www.dmv.ca.gov/portal/field-office/delano/,631 Jefferson Street,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Delano,CA,93215
Hanford,36.313400,-119.644400,https://www.dmv.ca.gov/portal/field-office/hanford/,701 W Hanford Armona Road (corner of W Armona),"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Hanford,CA,93230
Arvin,35.210800,-118.833200,https://www.dmv.ca.gov/portal/field-office/arvin/,317 Campus Dr,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Arvin,CA,93203
Lake Isabella,35.616825,-118.478236,https://www.dmv.ca.gov/portal/field-office/lake-isabella/,5520 Lake Isabella Road G-1,"Tu,Th 08:00-17:00",[], Lake Isabella,CA,93240
Shafter,35.503400,-119.272500,https://www.dmv.ca.gov/portal/field-office/shafter/,548 Walker Street,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Shafter,CA,93263
Taft,35.139321,-119.453756,https://www.dmv.ca.gov/portal/field-office/taft/,165 Center Street,"Tu,Th 08:00-17:00",[], Taft,CA,93268
Porterville,36.063400,-119.009400,https://www.dmv.ca.gov/portal/field-office/porterville/,329 E Olive Avenue,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Porterville,CA,93257
Coalinga,36.143000,-120.357200,https://www.dmv.ca.gov/portal/field-office/coalinga/,406 East Elm Avenue,"Tu,Th 08:00-17:00",[], Coalinga,CA,93210
Bakersfield,35.388300,-119.022500,https://www.dmv.ca.gov/portal/field-office/bakersfield/,3120 F Street,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Bakersfield,CA,93301
Bakersfield IBC,35.31368,-119.06675,https://www.dmv.ca.gov/portal/field-office/bakersfield-ibc/,5800 District Blvd,"Mo,Tu,Th,Fr 07:00-16:00,We 08:00-16:00",[],,,
Bakersfield Southwest,35.317031,-119.079704,https://www.dmv.ca.gov/portal/field-office/bakersfield-southwest/,7000 Schirra Ct,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Bakersfield,CA,93313
Visalia,36.330200,-119.273900,https://www.dmv.ca.gov/portal/field-office/visalia/,1711 East Main Street,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Visalia,CA,93292
Tulare,36.213400,-119.346400,https://www.dmv.ca.gov/portal/field-office/tulare/,274 E Cross Avenue,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Tulare,CA,93274
Reedley,36.590100,-119.443400,https://www.dmv.ca.gov/portal/field-office/reedley/,558 E Dinuba Avenue,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Reedley,CA,93654
Paso Robles,35.623300,-120.689800,https://www.dmv.ca.gov/portal/field-office/paso-robles/,841 Park Street,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Paso Robles,CA,93446
Lompoc,34.663552,-120.458380,https://www.dmv.ca.gov/portal/field-office/lompoc/,1601 N H St,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Lompoc,CA,93436
Santa Maria,34.947500,-120.434700,https://www.dmv.ca.gov/portal/field-office/santa-maria/,523 S McClelland Street,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Santa Maria,CA,93454
Bishop,37.361300,-118.407800,https://www.dmv.ca.gov/portal/field-office/bishop/,1115 West Line Street,"Mo,Fr 08:00-17:00,We 09:00-17:00",[], Bishop,CA,93514
Lancaster,34.654836,-118.146912,https://www.dmv.ca.gov/portal/field-office/lancaster/,721 W Ave L6,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Lancaster,CA,93535
Mariposa,37.494628,-119.968383,https://www.dmv.ca.gov/portal/field-office/mariposa/,5264 Highway 49-North,"Tu,Th 08:00-17:00",[], Mariposa,CA,95338
Clovis,36.809500,-119.676600,https://www.dmv.ca.gov/portal/field-office/clovis/,2103 Shaw Avenue,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Clovis,CA,93611
Madera,36.950100,-120.071700,https://www.dmv.ca.gov/portal/field-office/madera/,1206 Maple Street,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Madera,CA,93637
Fresno,36.757500,-119.819400,https://www.dmv.ca.gov/portal/field-office/fresno/,655 W Olive Avenue,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Fresno,CA,93728
Fresno North,36.831000,-119.790100,https://www.dmv.ca.gov/portal/field-office/fresno-north/,6420 N Blackstone Avenue,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Fresno,CA,93710
Fresno IBC,36.83051,-119.78867,https://www.dmv.ca.gov/portal/field-office/fresno-ibc/,6420 North Blackstone Ave.,"Mo,Tu,Th,Fr 07:00-16:00,We 08:00-16:00",[], Fresno,CA,93710
Mendota,36.754100,-120.382600,https://www.dmv.ca.gov/portal/field-office/mendota/,655 Quince Street,"Th,Fr 09:00-16:00",[], Mendota,CA,93640
Fresno Commercial Drive Test Center,36.692246,-119.778029,https://www.dmv.ca.gov/portal/field-office/fresno-commercial-drive-test-center/,735 E North Ave,"Mo,Tu,Th,Fr 07:00-16:00,We 08:00-16:00",[], Fresno,CA,93725
Merced,37.300700,-120.498700,https://www.dmv.ca.gov/portal/field-office/merced/,1313 W 12th Street,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Merced,CA,95340
Los Banos,37.059800,-120.863000,https://www.dmv.ca.gov/portal/field-office/los-banos/,814 West L Street,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Los Banos,CA,93635
Salinas Commercial Drive Test Center,36.66003,-121.63036,https://www.dmv.ca.gov/portal/field-office/salinas-commercial-drive-test-center/,838 Vertin Ave,"Mo,Tu,Th,Fr 07:00-16:00,We 09:00-16:00",[], Salinas,CA,93901
Salinas,36.697900,-121.647800,https://www.dmv.ca.gov/portal/field-office/salinas/,260 E Laurel Drive,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Salinas,CA,93906
Watsonville,36.927000,-121.768200,https://www.dmv.ca.gov/portal/field-office/watsonville/,90 Alta Vista Avenue,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Watsonville,CA,95076
